#99990 lat=-72.012 lon=2.537 elev=1277 name=TROLL_I_ANTARKTIS
8880 lat=62.1093 lon=10.6268 elev=478 name=ALVDAL
#9400 lat=62.179 lon=10.6165 elev=480 name=RV3_BERGERØNNINGEN
8770 lat=61.9723 lon=10.0268 elev=731 name=ATNDALEN_-_ERIKSRUD
8780 lat=62.0103 lon=10.0003 elev=780 name=LI_BRU
8970 lat=62.2316 lon=10.3418 elev=746 name=EINUNNA_KRAFTVERK
9160 lat=62.1282 lon=9.9947 elev=694 name=FOLLDAL_-_FREDHEIM
810 lat=62.2776 lon=11.732 elev=687 name=TUFSINGDAL_-_MIDTDAL
#10070 lat=62.5003 lon=11.1723 elev=600 name=FV752_MOSENGET
#12666 lat=61.108 lon=10.442 elev=130 name=EV6_VINGNES
12680 lat=61.0925 lon=10.4775 elev=240 name=LILLEHAMMER_-_SÆTHERENGEN
#13110 lat=61.1697 lon=10.4107 elev=205 name=EV6_STORHOVE
11900 lat=60.9518 lon=10.5954 elev=190 name=BIRI
#9303 lat=62.2318 lon=9.5317 elev=1025 name=E6_HJERKINN
9310 lat=62.2207 lon=9.5423 elev=1012 name=HJERKINN_II
16560 lat=62.0717 lon=9.1147 elev=638 name=DOMBÅS_-_NORDIGARD
16610 lat=62.1133 lon=9.2862 elev=973 name=FOKSTUGU
#16611 lat=62.1125 lon=9.2862 elev=980 name=E6_FOKSTUGU
#16620 lat=62.1807 lon=9.4752 elev=930 name=EV6_AVSJØEN
16790 lat=62.1057 lon=8.9192 elev=551 name=LESJA_-_SVANBORG
#16845 lat=62.147 lon=8.6903 elev=620 name=EV136_LORA
61630 lat=62.2583 lon=8.2 elev=579 name=BJORLI
15480 lat=61.8777 lon=8.4672 elev=374 name=SKJÅK_II
15660 lat=61.9013 lon=8.1706 elev=432 name=SKJÅK
15730 lat=61.8958 lon=7.8953 elev=664 name=BRÅTÅ_-_SLETTOM
15890 lat=62.0162 lon=7.6637 elev=872 name=GROTLI_III
#15950 lat=62.0105 lon=7.3928 elev=930 name=RV15_BREIDALEN
15270 lat=61.6777 lon=8.3727 elev=1894 name=JUVVASSHØE
15430 lat=61.7207 lon=8.2443 elev=701 name=BØVERDAL
15460 lat=61.5742 lon=8.1785 elev=1800 name=RUNDHØE
55290 lat=61.5647 lon=7.9978 elev=1413 name=SOGNEFJELLHYTTA
14550 lat=61.9225 lon=9.0084 elev=823 name=PRESTSTULEN
14711 lat=61.8135 lon=9.0133 elev=811 name=GROV_-_SOLHAUG
13640 lat=61.5162 lon=9.4085 elev=630 name=OLSTAPPEN
13655 lat=61.5308 lon=9.4023 elev=928 name=SKÅBU
14050 lat=61.6757 lon=9.5562 elev=330 name=SJOA
14200 lat=61.7247 lon=9.1541 elev=599 name=LEIRFLATEN
#16265 lat=61.8783 lon=9.4153 elev=380 name=EV6_ROSTEN
16271 lat=61.8883 lon=9.4798 elev=940 name=HØVRINGEN_II
13700 lat=61.4167 lon=9.5347 elev=752 name=ESPEDALEN
13140 lat=61.4567 lon=10.1902 elev=187 name=FÅVANG_-_TROMSNES
13150 lat=61.455 lon=10.1857 elev=200 name=FÅVANG
13160 lat=61.4648 lon=10.1277 elev=1030 name=KVITFJELL
13310 lat=61.4628 lon=10.3097 elev=770 name=SØRE_BREKKOM
13420 lat=61.6513 lon=10.1087 elev=930 name=VENABU
13450 lat=61.6643 lon=9.9744 elev=666 name=HOVDGRENDA
#13125 lat=61.2865 lon=10.2868 elev=200 name=EV6_SKARSMOEN
13030 lat=61.2247 lon=10.2588 elev=375 name=GAUSDAL_-_FOLLEBU
13060 lat=61.2732 lon=10.1732 elev=575 name=GAUSDAL_-_OVREHAGEN
11500 lat=60.7002 lon=10.8695 elev=264 name=ØSTRE_TOTEN_-_APELSVOLL
#11690 lat=60.6125 lon=10.6308 elev=410 name=RV4_EINA
11710 lat=60.5952 lon=10.6403 elev=406 name=EINAVATN
#4543 lat=60.157 lon=10.7217 elev=235 name=RV4_STRYKEN
#4590 lat=60.2755 lon=10.7475 elev=415 name=RV35_ROMERIKSÅSEN
#20470 lat=60.2822 lon=10.5295 elev=385 name=RV35_BEKKEHALLUM
20520 lat=60.2943 lon=10.5803 elev=372 name=LUNNER
#11340 lat=60.4548 lon=10.643 elev=620 name=RV4_LYGNA
20540 lat=60.3558 lon=10.5592 elev=245 name=GRAN
21680 lat=60.9345 lon=10.0358 elev=542 name=VEST-TORPA_II
#22690 lat=60.632 lon=9.8953 elev=170 name=EV16_BEGNADALEN
22730 lat=60.6197 lon=9.726 elev=474 name=HEDAL_I_VALDRES_II
22790 lat=60.6657 lon=9.7492 elev=172 name=GRIMSRUD_I_BEGNADALEN
22840 lat=60.8346 lon=9.4905 elev=628 name=REINLI
23160 lat=60.918 lon=9.2894 elev=639 name=ÅBJØRSBRÅTEN
23410 lat=61.0128 lon=9.2928 elev=822 name=FAGERNES_LUFTHAVN
23420 lat=60.9867 lon=9.2367 elev=365 name=FAGERNES
13750 lat=61.4183 lon=8.8945 elev=1088 name=ØVRE_HEIMDALSVATN
